protein,rmsd,pose_rank_for_rmsd
1q8u,1.4344512419149287,5
1qf1,1.7403970894955128,1
1qf1,1.8637756289343903,2
1qf1,1.9320869238229104,3
1qf1,1.5921086479443831,4
1qf1,1.7152230915887832,5
1qkt,0.42801223814967054,1
1qkt,0.4024777299233663,2
1qkt,0.3947349993164544,3
1qkt,1.1767127354073934,4
1qkt,0.40732156707679623,5
1r5y,0.26251530007398965,1
1r5y,0.2632303490174551,2
1r5y,0.2560356078914393,3
1r5y,0.25524830164761186,4
1r5y,0.25346684491480637,5
1s38,0.16345876636329906,1
1s38,0.1582231112796069,2
1s38,0.17185438718513074,3
1s38,0.15968771257446304,4
1s38,0.1643187476688226,5
1sqa,1.6048267880160418,1
1sqa,1.494451099314069,2
1sqa,1.3729722263255855,3
1sqa,1.5038568032322548,4
1sqa,1.3320200559089168,5
1syi,0.6877268283423,1
1syi,0.5438483541287564,2
1syi,0.695091310501071,3
1syi,0.6893004570269895,4
1syi,0.6974255337467752,5
1u1b,2.73346452052409,1
1u1b,2.6470294406525183,2
1u1b,2.7052366035344897,3
1u1b,2.64838813169492,4
1u1b,2.6500249072266056,5
1uto,0.3864804487208012,1
1uto,0.29579707546121314,2
1uto,0.7389440474388312,3
1uto,0.36386353729211623,4
1uto,0.30607715039672845,5
1vso,1.406439417278464,1
1vso,1.3907701607657184,2
1vso,1.383951749820078,3
1vso,1.3486025364845802,4
1vso,1.416523380114187,5
1w4o,1.330391917916164,1
1w4o,1.4437330627979612,2
1w4o,1.3311327241732518,3
1w4o,1.3709329152350327,4
1w4o,1.4539956890098356,5
1y6r,0.7269647698585108,1
1y6r,0.726505018595004,2
1y6r,0.7114477951536508,3
1y6r,0.7193721423268337,4
1y6r,0.7068672926950491,5
1yc1,0.9814249702628647,1
1yc1,1.1191353964614745,2
1yc1,0.9805990070933506,3
1yc1,0.983403332472731,4
1yc1,0.9753444524237426,5
1ydr,1.0337218569342177,1
1ydr,0.6840380345558739,2
1ydr,0.6848580360059812,3
1ydr,1.0394698768329094,4
1ydr,1.0488796557775637,5
1ydt,0.9457088326662124,1
1ydt,0.950110005522154,2
1ydt,0.958727073729196,3
1ydt,1.1095892355270411,4
1ydt,1.118190612375357,5
1z6e,1.0289420256487916,1
1z6e,1.0339661558862594,2
1z6e,0.9445155308066865,3
1z6e,0.9629290664693644,4
1z6e,1.0986790163492943,5
1z95,0.9562456894803245,1
1z95,1.0785916457364964,2
1z95,1.0016750332026605,3
1z95,1.359544584334297,4
1z95,1.1267917326202264,5
1z9g,2.0114246463615237,1
1z9g,1.7483743097750664,2
1z9g,1.8725837261781395,3
